fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
162,10kmE473N232,-45.748971534729,-40.50219535827637,4.157860824742268,5,"list(c(385876.0115, 386685.9085, 396632.9368, 395822.5786, 385876.0115, 4859284.8995, 4869270.3048, 4868419.2219, 4858434.3741, 4859284.8995))"
163,10kmE473N233,-42.77353405992985,-48.279714584350586,3.647852147852148,4,"list(c(386685.9085, 387496.791, 397444.2747, 396632.9368, 386685.9085, 4869270.3048, 4879255.0763, 4878403.4383, 4868419.2219, 4869270.3048))"
164,10kmE473N234,-27.001210211859114,-23.897561073303223,3.343481138318994,4,"list(c(387496.791, 388308.6575, 398256.5905, 397444.2747, 387496.791, 4879255.0763, 4889239.2204, 4888387.0297, 4878403.4383, 4879255.0763))"
165,10kmE473N235,-12.48993247978912,-15.1084885597229,3.446467589220684,4,"list(c(388308.6575, 389121.5063, 399069.8828, 398256.5905, 388308.6575, 4889239.2204, 4899222.7438, 4898370.0028, 4888387.0297, 4889239.2204))"
166,10kmE473N236,-7.658682165292553,-7.812656402587891,1.492490118577075,1,"list(c(389121.5063, 389935.3357, 399884.1498, 399069.8828, 389121.5063, 4899222.7438, 4909205.6529, 4908352.364, 4898370.0028, 4899222.7438))"
167,10kmE473N237,-5.891684153801439,-2.249473810195923,2.788262370540851,4,"list(c(389935.3357, 390750.1442, 400699.39, 399884.1498, 389935.3357, 4909205.6529, 4919187.9541, 4918334.1197, 4908352.364, 4909205.6529))"
168,10kmE473N238,112.2973652143281,84.49460220336914,3.565509518477044,4,"list(c(390750.1442, 391565.9301, 401515.6016, 400699.39, 390750.1442, 4919187.9541, 4929169.654, 4928315.2764, 4918334.1197, 4919187.9541))"
184,10kmE474N231,-64.33406667450505,-63.71065139770508,4.25293217746048,5,"list(c(395013.2016, 395822.5786, 405769.0163, 404959.1688, 395013.2016, 4848448.8884, 4858434.3741, 4857582.2854, 4847597.3416, 4848448.8884))"
185,10kmE474N232,-34.92107444803138,-33.8768196105957,3.398619957537155,5,"list(c(395822.5786, 396632.9368, 406579.8391, 405769.0163, 395822.5786, 4858434.3741, 4868419.2219, 4867566.5938, 4857582.2854, 4858434.3741))"
186,10kmE474N233,-29.351592747160954,-19.52775287628174,3.194413407821229,4,"list(c(396632.9368, 397444.2747, 407391.6357, 406579.8391, 396632.9368, 4868419.2219, 4878403.4383, 4877550.2731, 4867566.5938, 4868419.2219))"
187,10kmE474N234,8.479093350849784,9.817271709442139,3.067065868263473,4,"list(c(397444.2747, 398256.5905, 408204.4043, 407391.6357, 397444.2747, 4878403.4383, 4888387.0297, 4887533.3299, 4877550.2731, 4878403.4383))"
189,10kmE474N236,3.154943773234188,-0.082042545080185,2.690444145356662,2,"list(c(399069.8828, 399884.1498, 409832.8515, 409018.1435, 399069.8828, 4898370.0028, 4908352.364, 4907497.6021, 4897515.7708, 4898370.0028))"
190,10kmE474N237,14.213460716759624,-6.807063579559326,3.317375886524823,4,"list(c(399884.1498, 400699.39, 410648.5267, 409832.8515, 399884.1498, 4908352.364, 4918334.1197, 4917478.8303, 4907497.6021, 4908352.364))"
208,10kmE475N230,-93.6412461671504,-112.78073120117187,4.640525646460365,5,"list(c(404150.2983, 404959.1688, 414905.0331, 414095.6827, 404150.2983, 4837611.7557, 4847597.3416, 4846744.2088, 4836759.1491, 4837611.7557))"
209,10kmE475N231,-61.35002246421858,-65.56180953979492,4.480266286257727,5,"list(c(404959.1688, 405769.0163, 415715.3545, 414905.0331, 404959.1688, 4847597.3416, 4857582.2854, 4856728.6289, 4846744.2088, 4847597.3416))"
